id,correo,cliente_id
1,berríosycarbajalsadecv@gmail.com,1
2,laboratoriosoquendotapiayaguayo@gmail.com,2
3,despachoalmaraz-noriega@gmail.com,3
4,posada-grijalvasrldecv@gmail.com,4
5,grupolugobarajasyleiva@gmail.com,5
6,jaimes-alcántar@gmail.com,6
7,galvánsadecv@gmail.com,7
8,menéndezycarreraac@gmail.com,8
9,despachosotelocintrónyalva@gmail.com,9
10,garcíasadecv@gmail.com,10
11,montenegronietoyheredia@gmail.com,11
12,contreras-gallardo@gmail.com,12
13,industriascalvillomárquezytoledo@gmail.com,13
14,nevárez-hinojosasrldecv@gmail.com,14
15,batista-zepedasc@gmail.com,15
16,despachogaonabenavidesygurule@gmail.com,16
17,alcántardeleónyporras@gmail.com,17
18,clubniñoycuriel@gmail.com,18
19,grupobarretoysalcedo@gmail.com,19
20,despachocintrón-moreno@gmail.com,20
