id,remitente_id,destinatario_id,monto,fecha,tipo
1,787,203,981.53,2022-12-21 05:07:03,transferencia
2,989,559,737.36,2022-04-03 15:37:51,transferencia
3,641,605,945.72,2021-09-05 17:05:51,transferencia
4,767,5,571.05,2023-11-21 08:42:52,pago
5,461,969,165.06,2023-02-07 12:37:58,transferencia
6,931,597,515.95,2020-11-23 16:34:01,transferencia
7,555,599,399.85,2022-01-18 13:13:56,transferencia
8,559,832,707.02,2022-12-05 00:53:24,transferencia
9,444,439,327.96,2023-04-28 07:19:44,transferencia
10,181,308,617.74,2022-06-28 07:49:26,transferencia
11,622,890,237.93,2022-08-31 13:33:05,transferencia
12,917,820,106.0,2023-11-01 21:50:07,transferencia
13,924,914,709.38,2023-10-25 18:07:07,transferencia
14,342,812,548.83,2022-08-24 19:07:58,transferencia
15,882,104,877.89,2022-12-15 23:16:15,transferencia
16,285,189,382.58,2022-12-29 16:20:55,transferencia
17,123,647,101.96,2022-02-21 11:41:33,transferencia
18,520,158,173.06,2023-04-12 08:40:39,transferencia
19,112,731,489.7,2023-04-30 08:43:45,transferencia
20,85,922,630.98,2023-10-03 07:11:50,transferencia
21,630,926,531.19,2022-08-18 04:51:34,transferencia
22,813,990,317.31,2020-06-09 05:16:29,transferencia
23,513,358,491.44,2020-09-21 00:22:54,transferencia
24,40,35,152.81,2020-08-05 18:30:20,transferencia
25,204,451,683.69,2020-03-09 20:57:19,transferencia
26,766,105,126.08,2020-10-12 07:27:36,transferencia
27,340,92,838.7,2020-10-24 14:49:37,transferencia
28,163,52,176.07,2023-07-26 18:29:30,transferencia
29,512,274,743.81,2020-06-15 04:04:02,transferencia
30,473,928,112.57,2023-10-15 14:00:40,transferencia
31,751,593,160.05,2022-03-27 04:59:37,transferencia
32,149,808,372.29,2020-09-18 00:53:59,transferencia
33,699,49,879.89,2020-05-01 07:30:33,transferencia
34,388,482,34.75,2022-01-26 17:18:32,transferencia
35,350,447,175.55,2022-02-22 02:18:11,transferencia
36,354,265,700.83,2020-12-12 09:35:08,transferencia
37,348,320,654.65,2023-06-08 07:30:16,transferencia
38,560,796,473.6,2021-06-27 06:35:38,transferencia
39,144,927,733.77,2022-01-26 01:05:57,transferencia
40,340,128,427.84,2022-08-05 00:54:22,transferencia
41,345,226,619.95,2022-10-26 22:08:08,transferencia
42,459,456,709.49,2020-04-23 11:11:46,transferencia
43,658,236,841.53,2022-10-04 11:12:23,transferencia
44,192,563,55.97,2023-06-15 00:23:10,transferencia
45,559,137,226.09,2021-07-27 19:14:25,transferencia
46,726,666,669.93,2021-10-16 23:09:25,transferencia
47,77,86,426.81,2023-08-06 04:02:10,transferencia
48,644,805,570.16,2021-08-03 18:47:20,transferencia
49,955,665,33.12,2021-01-08 12:29:28,transferencia
50,413,33,385.39,2022-09-22 08:32:43,transferencia
51,941,470,465.71,2020-03-20 11:20:03,transferencia
52,603,1012,606.22,2021-02-13 16:41:14,transferencia
53,440,467,182.52,2021-03-07 16:27:28,transferencia
54,131,669,695.63,2023-10-06 11:18:44,transferencia
55,933,195,707.93,2020-08-25 07:04:44,transferencia
56,89,502,148.04,2022-07-14 14:04:03,transferencia
57,522,158,399.81,2021-02-24 17:16:23,transferencia
58,415,1010,72.39,2020-10-24 09:35:19,transferencia
59,638,978,921.75,2021-12-30 02:13:35,transferencia
60,562,616,870.66,2021-01-16 10:55:15,transferencia
61,202,190,916.95,2021-02-18 00:09:43,transferencia
62,600,140,884.37,2022-10-30 01:02:18,transferencia
63,941,239,510.86,2022-07-29 10:51:43,transferencia
64,131,624,883.56,2021-04-07 08:26:32,transferencia
65,707,995,312.69,2020-09-24 09:53:57,transferencia
66,752,629,822.98,2020-11-17 13:51:08,transferencia
67,872,736,650.34,2022-12-25 18:48:55,transferencia
68,796,100,223.43,2021-11-01 12:00:09,transferencia
69,161,693,800.74,2020-04-02 20:19:30,transferencia
70,388,443,63.57,2022-01-17 04:10:30,transferencia
71,774,10,667.9,2020-01-26 00:46:01,pago
72,620,190,970.39,2021-10-27 02:02:07,transferencia
73,501,226,767.49,2022-05-16 15:48:15,transferencia
74,853,778,71.17,2020-01-29 01:01:18,transferencia
75,410,324,452.37,2023-04-16 20:31:11,transferencia
76,44,529,953.62,2022-08-03 23:09:07,transferencia
77,157,342,628.15,2021-08-07 10:48:21,transferencia
78,502,702,193.74,2022-07-25 18:46:03,transferencia
79,659,539,68.49,2020-05-25 04:19:40,transferencia
80,939,650,470.3,2020-06-29 05:21:21,transferencia
81,595,365,910.25,2021-04-14 16:59:13,transferencia
82,347,825,731.69,2022-04-23 01:47:32,transferencia
83,443,478,809.94,2023-10-16 04:08:12,transferencia
84,277,43,207.3,2023-08-04 06:53:17,transferencia
85,703,134,242.75,2021-08-09 18:00:53,transferencia
86,946,605,517.58,2021-09-01 06:22:27,transferencia
87,438,588,998.15,2021-12-25 13:51:19,transferencia
88,226,982,306.88,2021-01-27 16:51:10,transferencia
89,735,584,475.62,2020-03-20 07:36:04,transferencia
90,615,622,189.0,2022-04-08 15:35:30,transferencia
91,152,212,59.14,2020-05-03 20:30:54,transferencia
92,211,950,213.88,2022-08-04 11:24:48,transferencia
93,356,908,978.26,2020-03-11 02:46:24,transferencia
94,73,978,774.22,2023-10-16 13:54:45,transferencia
95,599,172,899.96,2023-06-05 13:58:47,transferencia
96,864,391,731.39,2021-08-16 05:40:36,transferencia
97,1011,49,999.89,2022-02-16 21:38:06,transferencia
98,663,4,850.09,2021-07-26 11:04:17,pago
99,298,416,109.81,2021-11-28 23:27:57,transferencia
100,164,697,592.11,2020-07-12 22:05:11,transferencia
101,976,802,382.84,2021-07-20 06:35:33,transferencia
102,780,1002,196.65,2020-07-10 09:49:10,transferencia
103,848,690,844.38,2020-08-13 04:34:48,transferencia
104,268,542,515.84,2020-10-29 00:52:25,transferencia
105,158,496,518.12,2020-09-03 03:55:12,transferencia
106,243,572,396.8,2020-05-22 01:56:19,transferencia
107,81,113,13.13,2021-06-11 12:51:49,transferencia
108,562,418,774.36,2022-10-11 08:03:07,transferencia
109,506,322,358.73,2022-11-23 13:56:43,transferencia
110,217,925,407.83,2020-04-13 10:59:30,transferencia
111,142,602,642.77,2021-12-13 18:27:35,transferencia
112,969,134,83.75,2020-06-26 05:13:33,transferencia
113,686,397,681.24,2021-05-25 21:07:06,transferencia
114,144,330,309.87,2022-06-24 02:14:50,transferencia
115,303,243,676.83,2020-03-06 01:29:06,transferencia
116,1020,482,651.77,2020-05-30 08:57:21,transferencia
117,478,568,239.87,2021-03-04 21:31:28,transferencia
118,145,93,649.98,2022-10-04 11:42:55,transferencia
119,488,550,846.9,2022-12-07 02:40:33,transferencia
120,639,41,369.29,2020-01-01 23:15:39,transferencia
121,192,759,485.08,2023-02-26 15:48:35,transferencia
122,120,55,378.39,2023-11-12 10:10:13,transferencia
123,495,375,494.46,2020-10-20 14:54:14,transferencia
124,535,518,104.45,2022-11-18 12:02:09,transferencia
125,230,37,695.24,2022-02-05 21:38:07,transferencia
126,695,108,673.76,2022-09-16 22:07:59,transferencia
127,186,532,856.7,2023-09-19 16:24:07,transferencia
128,552,645,605.56,2021-12-14 00:47:45,transferencia
129,300,598,177.78,2021-12-28 21:18:22,transferencia
130,814,44,499.53,2020-05-07 18:01:39,transferencia
131,399,821,964.66,2023-10-25 21:26:20,transferencia
132,448,567,360.91,2021-08-28 14:50:11,transferencia
133,431,82,596.55,2023-04-06 10:06:40,transferencia
134,550,205,768.14,2020-11-17 02:52:50,transferencia
135,536,415,277.17,2020-09-18 16:01:51,transferencia
136,760,498,96.38,2020-02-12 16:16:22,transferencia
137,821,990,887.89,2021-12-15 01:33:54,transferencia
138,846,572,602.71,2022-04-13 14:00:39,transferencia
